City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
349,Wajir,KE,299.87,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
352,Salinas,US,291.96,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
354,Inyonga,TZ,298.4,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
355,Tabuk,PH,294.99,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
356,Takoradi,GH,298.79,broken clouds,4.8845,-1.7554,Raybow International Hotel
358,Sao Joao Da Barra,BR,295.2,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
359,Sungaipenuh,ID,291.36,overcast clouds,-2.0833,101.3833,penginapan citra alam
360,Maragogi,BR,298.53,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
366,Esmeraldas,BR,297.32,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
369,Kahului,US,302.74,few clouds,20.8947,-156.47,Maui Seaside Hotel
370,Cefalu,IT,292.34,broken clouds,38.0386,14.0229,Hotel La Giara
371,Half Moon Bay,US,292.34,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
373,Lagoa,PT,292.92,clear sky,39.05,-27.9833,Casa Das Faias
375,Alyangula,AU,296.08,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
376,Touros,BR,300.65,clear sky,-5.1989,-35.4608,INN NEW HORIZON
377,Tura,IN,292.04,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
378,Asilah,MA,294.13,light rain,35.465,-6.0348,Hotel Zelis
379,Luwingu,ZM,295.49,overcast clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
380,Det Udom,TH,294.05,broken clouds,14.906,105.0784,Chatsuda Resort
382,Mareeba,AU,295.55,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
383,Lakatoro,VU,300.12,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
385,La Palma,US,292.77,light rain,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
387,Crixas,BR,300.18,light rain,-14.5489,-49.9692,RISO HOTEL
388,Saint-Pierre,RE,295.97,broken clouds,-21.3393,55.4781,Lindsey Hôtel
390,Saint George,US,300.41,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
393,Atar,MR,303.35,overcast clouds,20.5169,-13.0499,Oumou Elghoura
397,Anloga,GH,301.27,moderate rain,5.7947,0.8973,Pin Drop Hotel
399,Jacareacanga,BR,305.5,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
402,Ofaqim,IL,293.01,clear sky,31.3141,34.6203,The Negev Experience
403,Jaciara,BR,300.98,overcast clouds,-15.9653,-54.9683,Taba Hotel
404,Kot Addu,PK,293.07,clear sky,30.4692,70.9671,Mohammad Ayub General Store
407,Nuqui,CO,300.46,light rain,5.7125,-77.2708,Hotel Nuquimar
409,Manzanillo,CU,302.71,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
411,Ocos,GT,304.25,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
415,Warri,NG,298.23,overcast clouds,5.5167,5.75,BON Hotel Delta
420,Labuan,MY,298.24,light rain,5.2767,115.2417,Tiara Labuan Hotel
423,North Myrtle Beach,US,298.35,overcast clouds,33.816,-78.68,Avista Resort
424,San Patricio,US,307.2,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
425,Abilene,US,308.42,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
426,Mecca,SA,299.75,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
427,Najran,SA,293.51,few clouds,17.4924,44.1277,محمد هادي ال فطيح
428,Simplicio Mendes,BR,307.52,scattered clouds,-7.8539,-41.9103,Fidalgo
431,Fayaoue,NC,296.91,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
434,Coahuayana,MX,305.86,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
436,Kerema,PG,299.22,overcast clouds,-7.9631,145.7785,Frena Lodge
438,Weligama,LK,298.47,heavy intensity rain,5.9667,80.4167,Weligama Bay Resort
440,Oistins,BB,301.2,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
441,Maracacume,BR,301.54,overcast clouds,-2.0428,-45.9592,Hotel Ramos
442,Grand-Lahou,CI,298.84,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
443,Morant Bay,JM,301.94,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
444,High Rock,BS,301.16,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
446,Tagusao,PH,299.04,broken clouds,9.1924,117.8141,Toledo
447,Lodwar,KE,302.72,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
448,Vila Franca Do Campo,PT,292.38,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
450,Tahoua,NE,302.14,clear sky,14.8888,5.2692,Bungalows Guesthouse
456,Olimpia,BR,301.27,overcast clouds,-20.7372,-48.9147,Hotel Savana
457,Fukue,JP,292.88,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
458,Kawalu,ID,295.53,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
460,Iquique,CL,291.17,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
463,Goma,CD,290.02,overcast clouds,-1.6792,29.2228,Hotel la Versailles Goma
465,Nouakchott,MR,301.11,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
468,Fort Myers Beach,US,303.2,few clouds,26.452,-81.9481,Lani Kai Island Resort
476,San Jose El Idolo,GT,302.35,scattered clouds,14.45,-91.4167,Local en Alquiler
478,Taitung,TW,296.1,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
480,Kaeo,NZ,291.66,scattered clouds,-35.1,173.7833,Bushido Lodge
482,Nabire,ID,297.22,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
483,Inhambane,MZ,294.98,few clouds,-23.865,35.3833,Oceano
485,Waddan,LY,296.53,clear sky,29.1614,16.139,محل الشريف محمد العايب
486,Kirakira,SB,301.21,scattered clouds,-10.4544,161.9205,SanBiz Lodge
487,Bosaso,SO,299.54,broken clouds,11.2842,49.1816,Red Sea Hotel
488,San Quintin,MX,293.26,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
493,Itapage,BR,299.49,clear sky,-3.6867,-39.5861,Pousada Itajavé
494,Valparaiso,CL,296.28,clear sky,-33.0393,-71.6273,Hotel Ultramar
495,Maua,BR,292.04,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
496,Rock Sound,BS,301.26,overcast clouds,24.9,-76.2,Rock Sound Club
498,Vaitape,PF,298.81,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
501,Ahmadpur,IN,292.87,few clouds,18.7,76.9333,Hengane (Pitashri Niwas)
502,Domoni,KM,299.0,broken clouds,-12.2569,44.5319,Al Djadid
503,Inirida,CO,297.96,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
506,Marovoay,MG,299.23,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
508,Quatre Cocos,MU,294.21,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
509,Villa Carlos Paz,AR,308.74,clear sky,-31.4241,-64.4978,Monte Carlo
510,Lorengau,PG,300.96,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
514,Chimbote,PE,292.52,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
518,Celestun,MX,302.65,few clouds,20.8667,-90.4,Posada Lilia
519,Pocoes,BR,293.86,overcast clouds,-14.5297,-40.3653,Poções Palace Hotel
520,Sao Sebastiao,BR,292.88,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
523,Dubai,AE,301.46,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
524,Ixtapa,MX,302.16,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
526,Tarauaca,BR,295.81,overcast clouds,-8.1614,-70.7656,Flat Temporada
537,West Sacramento,US,293.02,broken clouds,38.5805,-121.5302,"Holiday Inn Sacramento Downtown - Arena, an IHG Hotel"
538,Bantogon,PH,299.28,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
540,Tarija,BO,299.1,clear sky,-21.5355,-64.7296,Hostal Granny
541,Gizo,SB,301.36,scattered clouds,-8.103,156.8419,Imagination Island
542,Flagstaff,US,292.41,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
543,Lingao,CN,294.97,light rain,19.9103,109.6859,Lingao Ditai Inn
544,Bassar,TG,299.15,scattered clouds,9.25,0.7833,Hôtel KYRIAD
547,Adana,TR,295.16,clear sky,36.985,35.2881,Güney Adana Otel
549,Labuhan,ID,299.44,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
550,Conde,BR,299.85,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
552,Taltal,CL,290.61,few clouds,-25.4,-70.4833,Residencial Karime
554,Yeppoon,AU,294.03,light rain,-23.1333,150.7333,Villa Mar Colina
559,Amahai,ID,298.31,broken clouds,-3.3333,128.9167,HOTEL ISABELA
560,Bowen,AU,297.27,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
561,Sao Felix Do Xingu,BR,299.59,broken clouds,-6.6447,-51.995,Rio Xingu Camping
562,Robertsport,LR,300.1,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
563,Xai-Xai,MZ,294.68,overcast clouds,-25.0519,33.6442,Complexo da Familia
565,Hirara,JP,297.67,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
566,Payo,ID,295.43,overcast clouds,-3.7508,103.6372,Mess keban agung
568,Waw,SS,299.4,light rain,7.7029,27.9953,Universal Gab Hotel
569,Nouadhibou,MR,295.14,overcast clouds,20.931,-17.0347,El Medina
570,Niquero,CU,302.73,broken clouds,20.0431,-77.5828,Islazul Niquero
572,Benghazi,LY,296.37,few clouds,32.1167,20.0667,Tibesti Hotel
573,Gat,IL,293.53,clear sky,31.61,34.7642,OlusHome
576,Yenagoa,NG,297.54,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
577,Magway,MM,296.72,scattered clouds,20.15,94.9167,Htein Htein Thar 2
578,Bubaque,GW,301.54,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
579,Parrita,CR,302.88,broken clouds,9.5201,-84.3225,Beso del Viento
581,Yangjiang,CN,291.07,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
583,Matadi,CD,298.37,moderate rain,-5.8167,13.45,Hotel Vivi Palace
585,Bilma,NE,301.4,clear sky,18.6853,12.9164,Expeditions Ténére voyages
586,Cabedelo,BR,300.52,broken clouds,-6.9811,-34.8339,Hotel Pigalle
588,Namibe,AO,290.86,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
589,Victor Harbor,AU,290.2,clear sky,-35.5667,138.6167,McCracken Country Club
592,Praya,CV,299.45,broken clouds,14.9215,-23.5087,LT Aparthotel
594,Boca Do Acre,BR,295.57,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
596,Laguna,US,293.01,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
598,Carbonia,IT,290.93,scattered clouds,39.1672,8.5222,Lu 'Hotel
599,Kampot,KH,298.18,overcast clouds,10.6167,104.1833,Two Moons Hotel
600,Rawson,AR,292.83,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
602,Miri,MY,298.23,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
604,Caxias,PT,290.62,clear sky,38.7031,-9.2767,Hotel Real Oeiras
608,Camalu,MX,293.94,clear sky,30.85,-116.0667,La Cueva del Pirata
609,Rustenburg,ZA,291.16,broken clouds,-25.6676,27.2421,Rustenburg Boutique Hotel
612,Pringsewu,ID,296.62,broken clouds,-5.3582,104.9744,Urban Style by Front One
613,Tirumullaivasal,IN,300.46,light rain,11.2333,79.8333,Almupaark complex
616,Guerrero Negro,MX,295.24,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
618,San Pedro,PH,298.21,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
619,Rockland,US,296.18,broken clouds,41.1668,-74.0496,National Camp Association
621,Chaozhou,CN,294.07,light rain,23.6651,116.6379,Seven Corner View Homestay
622,Raton,US,302.34,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
623,Praia Da Vitoria,PT,293.57,scattered clouds,38.7333,-27.0667,Hotel Branco I
624,Zaidpur,IN,295.19,clear sky,26.8333,81.3333,LAAL KOTHI ZAIDPUR
625,Macau,MO,297.08,few clouds,22.2006,113.5461,Grand Emperor Hotel
630,Sombrio,BR,293.72,clear sky,-29.1139,-49.6167,Santa Rosa Do Sul
632,Harrison,US,303.19,few clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
634,Chandbali,IN,296.25,clear sky,20.7833,86.7667,KABITA HOMES
639,Phan Thiet,VN,297.47,light rain,10.9333,108.1,Hotel Saigon-PT
641,Minab,IR,295.87,clear sky,27.1467,57.0801,Bam campground
642,Barra,BR,302.49,broken clouds,-11.0894,-43.1417,Motel Albatroz
644,Shakawe,BW,297.5,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
645,Saint-Joseph,RE,295.36,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
646,Orocue,CO,302.06,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
650,Iguai,BR,296.09,overcast clouds,-14.7564,-40.0892,CadHotel
651,Sinnamary,GF,298.78,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
653,Aswan,EG,297.76,clear sky,24.0934,32.907,Nuba Nile
654,Grand Gaube,MU,294.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
655,Sur,OM,300.3,clear sky,22.5667,59.5289,Sur Plaza Hotel
656,Moree,AU,290.16,clear sky,-29.4667,149.85,Molika Springs Motel
657,Coolum Beach,AU,294.32,overcast clouds,-26.5333,153.1,Palmer Coolum Resort
658,Itoman,JP,295.16,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
659,Mount Isa,AU,299.02,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
660,Arlit,NE,303.13,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
661,Rosetta,EG,297.05,clear sky,31.4044,30.4164,Green Valley
665,Mattru,SL,296.96,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
666,Ypsonas,CY,290.69,few clouds,34.6884,32.9574,Club Aphrodite
668,Tshikapa,CD,294.99,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
671,Pasni,PK,298.03,clear sky,25.2631,63.471,Kashmiri Hotal
676,Sumenep,ID,300.51,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
679,Bac Giang,VN,292.19,clear sky,21.2667,106.2,An Binh Hotel 2
680,Galesong,ID,297.16,overcast clouds,-5.3166,119.3661,Sapriadi Appy
681,Kannur,IN,297.57,broken clouds,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
682,Alta Floresta,BR,301.16,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
686,Jipijapa,EC,296.87,overcast clouds,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
688,Rio Grande,BR,301.21,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
